through vasıtasıyla-sayesinde
car araba
flower çiçek
take almak
linking bağlayıcı
transtive geçişli
belong ait
phrase sözcükGrubu-ifade-tabir
term terim-dönem-süre
improve iyileştirmek-artırmak-geliştirmek
scholarship burs-bilim-öğrenim
lend ödünçVermek-borçVermek
offered sunulan
offered-to teklifEdilen
reter başvurmak
pattern desen
gerund ulaç-isim-fiil
admit kabulEtmek-itirafEtmek
whether eğer-olupOlmadığını
strip şerit-striptiz-çubuk
complement tamamlayıcı-bütün
function fonksiyon-işlev-görev
facedWith yüzleşmek
principal asıl-ana-temel
auxiliary yardımcı
contradiction çelişki
necessity zorunluluk
common ortak-yaygın-yerel
expectation beklenti
sentence cümle
probability olasılık
struggle mücadele
lack eksiklik-yoksunluk
capital sermaye-başkent
swift hızlı-çabuk-süratli
deterioration bozulma
proportion oran
stamp kaşe-pul-damga
train eğitmek-antrenman-tren
inadequate yetersiz-eksik-elverişsiz
certain belirli
candidate aday
remain kalmak-sürdürmek
agreement anlaşma-sözleşme
measure ölçmek
elementary temel
substance madde-cisim
abstarct soyut
poverty yoksulluk
stricken müzdarip
furniture mobilya
loggage bagaj
accomodation konaklama-uyum
identify belirlemek
countable sayılabilir
facilities tesisler
hire kiralamak
nominal itibari-düşük
tuition öğretim
coach koç
competiton yarışma
throughout boyunca
herbal bitkisel
variety çeşitlilik
snack aburCubur
oppurtunity fırsat
inform bilgiVermek
approprite uygun
dullest donuk-sıkıcı-mat
buffet büfe
probably muhtemelen
delivired teslim-vermek-iletmek
glad memnun
certain belli-kesin-emin
particular belirli
informal resmiOlmayan
fortunate şanslı
indetinite belirsiz
exclamation ünlem-haykırış
include dahilEtmek
content içerik
specify belirtmek
therefore buNedenle
unemployed işsiz
